"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\Praktikum\API Anwendung\jss\DomConstructor.js", "JavaScript", 131, 88, 33, 252
"e:\Praktikum\API Anwendung\jss\backgroundELement.js", "JavaScript", 69, 21, 10, 100
"e:\Praktikum\API Anwendung\jss\classes.js", "JavaScript", 129, 9, 10, 148
"e:\Praktikum\API Anwendung\jss\init.js", "JavaScript", 154, 38, 21, 213
"e:\Praktikum\API Anwendung\jss\main.js", "JavaScript", 241, 49, 46, 336
"e:\Praktikum\API Anwendung\jss\utils.js", "JavaScript", 26, 4, 4, 34
"Total", "-", 750, 209, 124, 1083
