"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\Praktikum\API Anwendung\jss\DomConstructor.js", "JavaScript", 134, 93, 35, 262
"e:\Praktikum\API Anwendung\jss\backgroundELement.js", "JavaScript", 69, 21, 10, 100
"e:\Praktikum\API Anwendung\jss\classes.js", "JavaScript", 129, 9, 10, 148
"e:\Praktikum\API Anwendung\jss\filters.js", "JavaScript", 47, 1, 10, 58
"e:\Praktikum\API Anwendung\jss\init.js", "JavaScript", 153, 38, 21, 212
"e:\Praktikum\API Anwendung\jss\main.js", "JavaScript", 205, 50, 38, 293
"e:\Praktikum\API Anwendung\jss\utils.js", "JavaScript", 26, 4, 4, 34
"Total", "-", 763, 216, 128, 1107
